,Open,High,Low,Close,Adj Close,Volume,Date,Company
0,202.320007,202.5,199.320007,201.110001,197.38356,1032400.0,2021-07-06,ADP
1,201.440002,203.550003,200.880005,203.339996,199.572235,1091500.0,2021-07-07,ADP
2,201.940002,203.089996,200.75,201.860001,198.11969,1262800.0,2021-07-08,ADP
3,202.0,203.970001,201.830002,203.720001,199.945206,1746800.0,2021-07-09,ADP
4,201.899994,203.940002,200.910004,203.75,199.974655,1325200.0,2021-07-12,ADP
5,203.899994,204.839996,203.309998,203.910004,200.131683,1025100.0,2021-07-13,ADP
6,204.789993,205.410004,203.919998,204.5,200.710754,1558900.0,2021-07-14,ADP
7,204.289993,207.350006,204.0,207.029999,203.193878,1518200.0,2021-07-15,ADP
8,207.100006,208.580002,205.339996,205.600006,201.79039,1652100.0,2021-07-16,ADP
9,204.240005,205.369995,200.5,201.679993,197.942993,1841600.0,2021-07-19,ADP
10,202.779999,205.759995,202.160004,203.139999,199.375946,2097200.0,2021-07-20,ADP
11,203.139999,204.600006,202.729996,204.470001,200.68132,1408700.0,2021-07-21,ADP
12,204.559998,205.119995,202.720001,203.289993,199.523178,1075700.0,2021-07-22,ADP
13,204.289993,206.539993,203.470001,206.080002,202.26149,1105200.0,2021-07-23,ADP
14,205.740005,206.479996,204.350006,206.270004,202.447968,1118800.0,2021-07-26,ADP
15,206.410004,208.589996,205.699997,207.889999,204.037933,2074900.0,2021-07-27,ADP
16,207.270004,207.5,203.220001,206.880005,203.046646,2065500.0,2021-07-28,ADP
17,208.0,209.869995,207.080002,208.830002,204.960526,1236900.0,2021-07-29,ADP
18,208.410004,210.320007,208.410004,209.630005,205.745697,1533800.0,2021-07-30,ADP
19,210.539993,211.270004,209.229996,209.449997,205.569016,1459000.0,2021-08-02,ADP
20,209.600006,213.720001,208.720001,213.440002,209.485092,1412200.0,2021-08-03,ADP
21,213.039993,213.649994,211.919998,212.0,208.071777,1634600.0,2021-08-04,ADP
22,213.100006,213.580002,212.089996,213.289993,209.337875,1010900.0,2021-08-05,ADP
23,213.419998,213.940002,212.529999,213.0,209.053238,1342900.0,2021-08-06,ADP
24,213.429993,213.960007,212.289993,213.699997,209.740265,1322000.0,2021-08-09,ADP
25,214.059998,217.149994,213.429993,216.720001,212.70433,2574700.0,2021-08-10,ADP
